名稱,分類,排定,說明,連結,地址,緯度,經度
Eastin Grand Hotel Phayathai,住宿交通,全程,飯店。BTS 與機場快線 Phaya Thai 站同棟,https://www.eastingrandphayathai.com/,"Eastin Grand Hotel Phayathai, Bangkok",13.7567869,100.5323786
蘇汪那蓬機場 BKK,住宿交通,"9/24, 9/28",機場快線到 Phaya Thai 26-30 分,,Suvarnabhumi Airport,13.6818767,100.7485803
Rajadamnern 泰拳館,住宿交通,9/26,週六 RWS 19:00-22:00，已訂票,https://rajadamnern.com/,"Rajadamnern Stadium, Bangkok",13.7610018,100.5087556
Taling Chan 水上市場碼頭,住宿交通,9/26,週六 13:30 長尾船班次,,Taling Chan Floating Market,13.7764049,100.4565735
ICONSIAM 碼頭（夜船）,住宿交通,9/25,Chao Phraya Princess check-in 18:30,https://www.chaophrayaprincess.com/reservations.php,"ICONSIAM Pier, Bangkok",13.7268227,100.510294
大皇宮 Grand Palace,景點,9/26,08:30-15:30 停售，500 銖，長褲包肩,https://www.royalgrandpalace.th/en/home,"The Grand Palace, Bangkok",13.7493514,100.4918643
臥佛寺 Wat Pho,景點,9/26,08:00-18:30，46 公尺臥佛,https://www.watpho.com/en/home,"Wat Pho, Bangkok",13.7463456,100.4927381
鄭王廟 Wat Arun,景點,9/26,從 Chom Arun 隔河看日落與打燈,,"Wat Arun, Bangkok",13.7438976,100.4885137
水門寺 Wat Paknam,景點,9/26,08:00-18:00，五樓穹頂下午最美,,"Wat Paknam Phasi Charoen, Bangkok",13.7216719,100.4704273
空邦龍藝術家之家 Baan Silapin,景點,9/26,週六 14:00 人偶劇,,Baan Silapin Artist House Khlong Bang Luang,,
Wat Kamphaeng Bang Chak,景點,9/26,長尾船行程停靠的古廟,,"Wat Kamphaeng Bang Chak, Bangkok",13.7303499,100.4633018
Safari World,景點,9/25,小猩猩的一天。09:00-17:00，週一休,https://www.safariworld.com/,"Safari World, Khlong Sam Wa, Bangkok",13.8650168,100.7030597
Harajuku Thailand,景點,9/25 選項,日式村落，免門票，週五 10:00-22:00,,"Harajuku Thailand, Nong Chok",13.8085551,100.9228937
Hong Sieng Kong 宏成功,景點,9/27,兩百年中式老宅，河邊早午餐,,"Hong Sieng Kong, Talat Noi, Bangkok",13.7347508,100.5115584
Mother Roaster 阿嬤咖啡,咖啡廳,9/27,七十歲阿嬤親手烘沖，10:00-18:00 休一二,https://www.phuket101.net/bangkok/mother-roaster-talat-noi/,"Mother Roaster, 1172 Soi Charoen Krung 22, Talat Noi, Bangkok",,
Song Wat 宋旺路,景點,9/27,Time Out 全球 40 酷街區，咖啡巡禮,,"Song Wat Road, Bangkok",13.7388961,100.5060421
Warehouse 30,景點,9/27 選項,二戰倉庫改選物與藝廊,,"Warehouse 30, Charoen Krung, Bangkok",13.7280919,100.5147912
Chao Phraya Sky Park,景點,選項,全球第一座跨河公園，到 20:00,,"Chao Phraya Sky Park, Bangkok",13.7389727,100.4984969
Ari 街區,景點,9/28,最後一個早上，咖啡與選物,,"Ari BTS Station, Bangkok",13.7802077,100.5446888
The Hamlet Ari,景點,9/28,花園型藝文空間,,"The Hamlet, Soi Ari 3, Bangkok",13.7804686,100.5417446
ChangChui 飛機創意園區,景點,未排,退役客機餐廳，每天 11:00-23:00,,"ChangChui Creative Park, Bangkok",,
MOCA 當代藝術館,景點,未排,週二-日 10:00-18:00，180 銖,,MOCA Bangkok Museum of Contemporary Art,13.8519153,100.5625859
Siriraj Medical Museum,景點,未排,死亡博物館，週三-一 10:00-17:00,,"Siriraj Medical Museum, Bangkok",13.7587143,100.4854995
Siam Amazing Park,景點,未排,金氏紀錄最大人造海浪池,,"Siam Amazing Park, Bangkok",13.8067611,100.695068
Khao San Road 考山路,景點,9/26 選項,背包客夜生活街,,"Khao San Road, Bangkok",13.7589052,100.4972746
Soi Rambuttri,景點,9/26 選項,考山路旁安靜的按摩與樹蔭街,,"Soi Rambuttri, Bangkok",13.761512,100.4943068
Chatuchak 週末市集,景點,未排（週末才開）,9/26 六可去，古著在 Section 5-6,,Chatuchak Weekend Market,13.8002651,100.5511228
Bungsamran 釣魚場,景點,未排,"巨鯰釣場，外國人 2,000 銖/12 小時",,"Bungsamran Fishing Park, Nawamin 42, Bangkok",,
Phed Mark 打拋豬,餐廳小吃,9/24,Mark Wiens 的店，10:00-19:00,https://danielfooddiary.com/2025/02/17/phedmark/,"Phed Mark, 300 Sukhumvit Rd, Bangkok",13.7203029,100.5838605
Mae Varee 芒果糯米飯,餐廳小吃,9/24,06:00-22:00,https://www.instagram.com/maevareeofficial/,"Mae Varee Mango Sticky Rice, Thonglor",,
Rung Rueang 豬肉麵,餐廳小吃,9/24,米其林必比登，08:00-17:00,,"Rung Rueang Pork Noodle, Sukhumvit 26",13.7283099,100.5704644
KanonSiam 斑斕糕（CentralWorld）,餐廳小吃,9/24,小猩猩指定甜點,,"CentralWorld, Bangkok",13.7465769,100.5390414
Banthat Thong 朱拉夜市,餐廳小吃,9/24,18:00 後全開,,"Thanon Banthat Thong, Bangkok",13.7374014,100.5219028
Som Som Seafood,餐廳小吃,9/24,海鮮熱炒，要排隊,,"Som Som Seafood, Banthat Thong, Bangkok",,
June Pang 鮮奶吐司,餐廳小吃,9/24,週四 16:00-00:00,,"June Pang Bread and Fresh Milk, Banthat Thong",,
Pungdet 炭烤吐司,餐廳小吃,9/24,外酥內軟,,"Pungdet Banthat Thong, Bangkok",,
邢泰記 Kope Hya Tai Kee,餐廳小吃,9/26,1952 年泰華咖啡店，07:00-20:00,,"Kope Hya Tai Kee, 37 Siri Phong Rd, Bangkok",13.7268555,100.5459578
Mae Klong Hua Pla Mo Fai,餐廳小吃,9/26,米其林餐盤，蟹肉烘蛋、牛奶蒸蟹,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/mae-khlong-hua-pla-mo-fai-1195212,"Mae Klong Hua Pla Mo Fai, Taling Chan, Bangkok",,
Chom Arun,餐廳小吃,9/26,正對鄭王廟，11:00-21:30，必訂位,,"Chom Arun Restaurant, Bangkok",13.7440368,100.4918309
theCOMMONS Thonglor,餐廳小吃,9/25 選項,08:00-01:00 美食庭院,https://www.thecommonsbkk.com/thonglor/find-us,"theCOMMONS Thonglor, Bangkok",13.7349518,100.5821642
Nobu Bangkok,餐廳小吃,9/27 排定 19:30,已查有位，服裝規定嚴,https://noburestaurants.com/bangkok/reservations,"Nobu Bangkok, The Empire, Sathorn",13.7204607,100.5302518
SookSiam（ICONSIAM 地面層）,餐廳小吃,9/27,室內浮動市場 170 攤,https://www.iconsiam.com/en,"ICONSIAM, Bangkok",13.7268227,100.510294
Urai 滷鵝,餐廳小吃,9/27,六十年家族配方,,"Urai Goose, Song Wat Road, Bangkok",13.7381643,100.5075246
水門雞飯 Go-Ang Pratunam,餐廳小吃,9/28 選項,米其林必比登，粉紅制服,,Go-Ang Pratunam Chicken Rice,13.7496404,100.5420858
耀華力路 Yaowarat 宵夜,餐廳小吃,9/26 選項,烤生蠔、Jek Pui 咖哩飯,,"Yaowarat Road, Bangkok",13.7444035,100.5038701
Factory Coffee,咖啡廳,"9/25, 9/26",飯店旁，08:00-16:00,https://factorybkk.com/,"Factory Coffee, 49 Phaya Thai Rd, Bangkok",13.7594502,100.5354732
Nana Coffee Roasters Ari,咖啡廳,9/28,老宅大庭園，有工作大桌,,"Nana Coffee Roasters Ari, Bangkok",13.782685,100.5419711
